Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","17","Bermuda","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","82","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","17","Bermuda","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-288.109271","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","17","Bermuda","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","95.416371","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","18","Bhutan","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-33.915118","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","18","Bhutan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-9.385654","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","18","Bhutan","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","6.522392","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","19","Bolivia (Plurinational State of)","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","335.36553","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","19","Bolivia (Plurinational State of)","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","712.474138","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","19","Bolivia (Plurinational State of)","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","302.368781","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","80","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","349.75913","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","80","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","491.888017","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","80","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","574.342521","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","20","Botswana","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","142.522577","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","20","Botswana","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","260.575045","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","20","Botswana","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","285.955062","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","21","Brazil","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","53700.383657","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","21","Brazil","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","66584.927444","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","21","Brazil","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","59802.40649","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","239","British Virgin Islands","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","49022.945937","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","239","British Virgin Islands","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","39609.971335","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","239","British Virgin Islands","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","34389.709123","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","26","Brunei Darussalam","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-149.641293","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","26","Brunei Darussalam","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","460.083714","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","26","Brunei Darussalam","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","382.01849","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","27","Bulgaria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1040.26088","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","27","Bulgaria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1813.850191","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","27","Bulgaria","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1142.612472","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","233","Burkina Faso","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","390.622114","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","233","Burkina Faso","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2.57269","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","233","Burkina Faso","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","268.414908","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","29","Burundi","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","0.055481","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","29","Burundi","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","0.316473","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","29","Burundi","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","0.983747","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","35","Cabo Verde","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","124.726336","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","35","Cabo Verde","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","110.841683","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","35","Cabo Verde","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","109.786869","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","115","Cambodia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","2475.916","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","115","Cambodia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2785.731","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","115","Cambodia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","3207.587","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","32","Cameroon","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","663.789","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","32","Cameroon","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","814.002","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","32","Cameroon","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","761.54955","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","33","Canada","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","36055.874232","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","33","Canada","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","22766.845925","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","33","Canada","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","38239.938016","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","36","Cayman Islands","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","58815.590788","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","36","Cayman Islands","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","15173.395232","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","36","Cayman Islands","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","20680.811776","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","37","Central African Republic","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","7.25609","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","37","Central African Republic","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","6.888751","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","37","Central African Republic","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","18.003535","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","39","Chad","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","244.682121","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","39","Chad","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","363.381636","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","39","Chad","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","460.890508","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","40","Chile","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","12071.931659","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","40","Chile","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","6203.318024","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","40","Chile","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","7742.476074","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","96","China, Hong Kong SAR","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","117386.968985","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","96","China, Hong Kong SAR","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","110684.502614","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","96","China, Hong Kong SAR","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","104245.710276","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","128","China, Macao SAR","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1958.709503","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","128","China, Macao SAR","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1254.423125","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","128","China, Macao SAR","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","2497.241563","X","International reliable sources","UNCTAD"
