Domain Code,Domain,Area Code (FAO),Area,ISO Currency Code (FAO),Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
PE,Exchange rates - Annual,255,Belgium,EUR,Euro,5540,Standard local currency units per USD,2016,2016,,0.904035128,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,255,Belgium,EUR,Euro,5540,Standard local currency units per USD,2017,2017,,0.885205508,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,255,Belgium,EUR,Euro,5540,Standard local currency units per USD,2018,2018,,0.846772667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,23,Belize,BZD,Belize Dollar,5540,Standard local currency units per USD,2016,2016,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,23,Belize,BZD,Belize Dollar,5540,Standard local currency units per USD,2017,2017,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,23,Belize,BZD,Belize Dollar,5540,Standard local currency units per USD,2018,2018,,2,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,53,Benin,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,53,Benin,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,53,Benin,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,17,Bermuda,BMD,Bermudian Dollar,5540,Standard local currency units per USD,2016,2016,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,17,Bermuda,BMD,Bermudian Dollar,5540,Standard local currency units per USD,2017,2017,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,17,Bermuda,BMD,Bermudian Dollar,5540,Standard local currency units per USD,2018,2018,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,18,Bhutan,BTN,Ngultrum,5540,Standard local currency units per USD,2016,2016,,67.19518591,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,18,Bhutan,BTN,Ngultrum,5540,Standard local currency units per USD,2017,2017,,65.12156856,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,18,Bhutan,BTN,Ngultrum,5540,Standard local currency units per USD,2018,2018,,68.38946709,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,19,Bolivia (Plurinational State of),BOB,Boliviano,5540,Standard local currency units per USD,2016,2016,,6.91,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,19,Bolivia (Plurinational State of),BOB,Boliviano,5540,Standard local currency units per USD,2017,2017,,6.91,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,19,Bolivia (Plurinational State of),BOB,Boliviano,5540,Standard local currency units per USD,2018,2018,,6.91,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,80,Bosnia and Herzegovina,BAM,Convertible Mark,5540,Standard local currency units per USD,2016,2016,,1.768139024,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,80,Bosnia and Herzegovina,BAM,Convertible Mark,5540,Standard local currency units per USD,2017,2017,,1.735352713,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,80,Bosnia and Herzegovina,BAM,Convertible Mark,5540,Standard local currency units per USD,2018,2018,,1.656985441,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,20,Botswana,BWP,Pula,5540,Standard local currency units per USD,2016,2016,,10.90115454,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,20,Botswana,BWP,Pula,5540,Standard local currency units per USD,2017,2017,,10.34742088,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,20,Botswana,BWP,Pula,5540,Standard local currency units per USD,2018,2018,,10.199975,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,21,Brazil,BRL,Brazilian Real,5540,Standard local currency units per USD,2016,2016,,3.491313422,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,21,Brazil,BRL,Brazilian Real,5540,Standard local currency units per USD,2017,2017,,3.191389446,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,21,Brazil,BRL,Brazilian Real,5540,Standard local currency units per USD,2018,2018,,3.653825362,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,239,British Virgin Islands,USD,US Dollar,5540,Standard local currency units per USD,2016,2016,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,239,British Virgin Islands,USD,US Dollar,5540,Standard local currency units per USD,2017,2017,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,239,British Virgin Islands,USD,US Dollar,5540,Standard local currency units per USD,2018,2018,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,26,Brunei Darussalam,BND,Brunei Dollar,5540,Standard local currency units per USD,2016,2016,,1.381346877,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,26,Brunei Darussalam,BND,Brunei Dollar,5540,Standard local currency units per USD,2017,2017,,1.380891164,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,26,Brunei Darussalam,BND,Brunei Dollar,5540,Standard local currency units per USD,2018,2018,,1.348918565,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,27,Bulgaria,BGN,Bulgarian Lev,5540,Standard local currency units per USD,2016,2016,,1.768041667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,27,Bulgaria,BGN,Bulgarian Lev,5540,Standard local currency units per USD,2017,2017,,1.735458333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,27,Bulgaria,BGN,Bulgarian Lev,5540,Standard local currency units per USD,2018,2018,,1.657041667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,233,Burkina Faso,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,233,Burkina Faso,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,233,Burkina Faso,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,29,Burundi,BIF,Burundi Franc,5540,Standard local currency units per USD,2016,2016,,1654.626667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,29,Burundi,BIF,Burundi Franc,5540,Standard local currency units per USD,2017,2017,,1729.055,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,29,Burundi,BIF,Burundi Franc,5540,Standard local currency units per USD,2018,2018,,1782.876875,X,International reliable sources,Data from UNSD AMA
